an,title,snippet,body
BBCSUP0020240313ek3d000rt,Highlights: Russia Kaliningrad Region Media 26 Feb-3 Mar,"The following are media highlights from Kaliningrad's state-owned GTRK Kaliningrad TV, Strana Kaliningrad newspaper, websites Rugrad, New Kaliningrad and Klops for the period 26 Feb-3 Mar 2024

Domestic economic","Kaliningrad's regional government will subsidise air tickets for all residents of the region, GTRK Kaliningrad TV reported on 3 March. Students who study in Kaliningrad institutes and universities will also be eligible for a discount. The discounted tickets will apply to the flights to Arkhangelsk, Yekaterinburg, Zhukovsky, Kaluga, Moscow, Murmansk, Saint-Petersbourg and Sochi. Earlier, the discount was available only to certain groups, such as younger and older people as well as people with disabilities, the report said. (GTRK Kaliningrad TV, 3 Mar 24)

The decision to subsidise tickets for air travel was made after Russian President Vladimir Putin's visit to the region, Strana Kaliningrad newspaper said on 28 February. The newspaper also said that the decision will likely come into force on 1 May. (Strana Kaliningrad newspaper, 28 Feb 24)

Despite salary increases in Kaliningrad in January 2024 compared to the same period in the previous year, wages in the region are lower than the average in Russia, the Rugrad website reported on 29 February. The average salary in the Kaliningrad region is 45,800 roubles (about 500 dollars). (Rugrad website, 29 Feb 24)

Service fees for gas equipment maintenance in Kaliningrad Region are higher than in other regions of Russia, the New Kaliningrad newspaper reported on 29 February. The region is more expensive than Arkhangelsk, Pskov and Saint-Petersboug. The Moscow Region is the only territory with higher prices than Kaliningrad, the report said. (New Kaliningrad, 29 Feb 24)

International political

The head of the regional administration's press office, Dmitry Lyskov, has said that the Baltic Sea will never become part of Nato, Klops news website quoted him as saying on 26 February. ""We are living on our land and developing our region. It is our neighbours that are showing off their arms, those who have suddenly forgotten good neighbourly relations,"" he said as he reacted to a statement by Lithuania's ambassador in Sweden on the region. (Klops news website, 26 Feb 24)

Other

A book festival called March was cancelled in Kaliningrad, the New Kaliningrad website reported on 2 March. The festival was due to be held on 8-10 March. The telegram channel of the organisers of the festival said that they received a refusal from the city administration on 1 March, but no explanation as to why the festival would not be hosted was given. (New Kaliningrad website, 2 Mar 24)

A man and a woman from Yekaterinburg have been arrested for what was described as ""a desecration"" of the eternal flame to those who fought and died in World War Two, Klops news website reported on 27 February. The report quoted the local authorities as saying that the man and the woman, who were drunk, danced around and jumped over the fire, while later, the man picked up the flowers at the monument and left together with the woman. (Klops news website, 27 February).

Source: Kaliningrad Region media highlights, in Russian 2359 gmt 3 Mar 24"
BBCMNF0020240315ek3f001md,At least 20 migrants reported dead as boat sinks off Turkey's west,"By BBC Monitoring

At least 20 irregular migrants have lost their lives after their boat sunk off Turkey's western province of Canakkale, mainstream NTV news channel's website reported on 15 March.","""Four people have been rescued so far... Four of the deceased are children and babies, according to preliminary findings,"" the report quoted Canakkale Governor Ilhami Aktas as saying.

Aktas said the migrants' rubber boat sunk late on 14 March and the local authorities dispatched rescue helicopters and coast guard units immediately.

He warned that the death toll may rise, considering the survivors' statements regarding the number of people onboard.

Turkey has in recent years become a major transit route for irregular migrants seeking to enter the EU.&#160;

Migrants have often attempted to cross to Greek islands in the Aegean, particularly in spring and summer when conditions are relatively favourable.

Source: NTV Online website, Istanbul, in Turkish 1112 GMT 15 Mar 24"
BBCMNF0020240311ek3b0025t,Putin extends Russia's death-in-war payments to civilian personnel,"By BBC Monitoring

Russian President Vladimir Putin has extended the 5m-rouble ($55,300) death-in-Ukraine-war payments to the Defence Ministry's civilian personnel, TASS news agency reports.","The payment, previously given to the families of the service personnel killed in the war, also extends to the civilian personnel from a number of other Russian government bodies - including the interior ministry, the prison service and the court bailiffs service.

The same presidential decree says that the civilian personnel from the above mentioned government bodies are entitled to 3m-rouble payments in the event of being wounded in the Ukraine war.

Source: TASS news agency, Moscow, in Russian 1348 gmt 11 Mar 24"
BBCMNF0020240306ek36000p1,Iran police officer killed by 'drug smugglers' near Afghanistan border,"By BBC Monitoring

The commander of a police border guards station in Iran's eastern South Khorasan Province has been killed in a clash with ""drug smugglers"" near the border with Afghanistan, the official IRNA news agency reported on 5 March.","Brig Gen Hossein Dehaki, the provincial border guard commander, said that Sgt Alireza Moazzen was killed in a shootout with drug traffickers in the province's Nehbandan city near the border.&#160;

He added that two other officers were wounded, while the ""armed thugs were subdued"".

South Khorasan Province shares a 331 km border with Afghanistan, which is a frequent conduit for narcotics entering Iran.

Source: Islamic Republic News Agency (IRNA) website, Tehran, in Persian 1957 GMT 5 Mar 24"
BBCMNF0020240305ek35000dx,Ukraine intel source says Russian ship hit by sea drones,"By BBC Monitoring

Ukrainian sea drones have hit the Russian patrol ship Sergey Kotov, the Ukrayinska Pravda news website reported on 5 March, quoting its source in the Ukrainian military intelligence (HUR).","The Sergey Kotov is a corvette-class large patrol ship of the Project 22160 series that can carry Kalibr cruise missiles.

The extent of damage to the ship is being clarified, the source said.

""The Main Intelligence Directorate [HUR] was behind the special operation"", Ukrayinska Pravda quoted the source as saying.

Russia has stopped railway traffic to Crimea and the bridge from mainland Russia to Crimea has been blocked for eight hours, the website reported, quoting Russian media.

Source: Ukrayinska Pravda website, Kyiv, in Ukrainian 0550 gmt 5 Mar 24"
BBCMNF0020240316ek3g000gp,North Korea extends congratulations to Nepalese deputy PM,"By BBC Monitoring

North Korea has extended congratulations to Nepalese leader Narayan Kaj Shrestha, upon his appointment as deputy prime minister and foreign minister of Nepal, Pyongyang's official Korean Central News Agency (KCNA) reported.","""DPRK Foreign Minister Choe Son Hui on March 15 sent a congratulatory message to Narayan Kaj Shrestha upon his appointment as deputy prime minister and foreign minister of Nepal,"" the 16 March KCNA report added.

DPRK refers to North Korea's official name, the Democratic People's Republic of Korea.&#160;

""The message expressed belief that the friendly and cooperative relations between the two countries with long history and traditions would invariably develop, wishing him success in his responsible work,"" the KCNA report added.

Source: KCNA website, Pyongyang, in English 0827 GMT 16 Mar 24"
BBCMNF0020240321ek3l000b5,Pakistan PM emphasises zero tolerance for border attacks,"By BBC Monitoring

Pakistan Prime Minister Shehbaz Sharif on 20 March asserted that the government would not tolerate any cross-border terrorism, The Express Tribune newspaper reported.","""We will unequivocally reject and respond firmly to any act of terrorism originating from across our borders,"" Sharif said during the inaugural session of the federal cabinet.

His remarks came in the wake of recent terror incidents along Pakistan-Afghanistan border, where Pakistan undertook intelligence-driven anti-terror operations within Afghanistan.&#160;

While stressing the importance of regional cooperation in combating terrorism, he said: ""We aspire to foster peaceful coexistence with our neighbouring nations and seek to bolster trade and bilateral relations.""

Source: The Express Tribune website, Karachi, in English 0602 GMT 20 Mar 24"
BBCMNF0020240310ek3a0002t,Pakistan opposition set to hold nation-wide protests against 'stolen' mandate,"By BBC Monitoring

Pakistan's opposition Pakistan Tehreek-i-Insaf (PTI) party has announced countrywide protests on 10 March against &#8220;mandate theft&#8221; following a call by imprisoned party founder Imran Khan, prominent daily Dawn reported on its website.","According to a PTI spokesperson, the nation would not accept the &#8220;corrupt persons as the president and prime minister of the country against their will,&#8221; the report added.

The protests would be held to reclaim the &#8220;stolen&#8221; mandate, the report further cited the spokesperson as saying.

See also: Briefing: Pakistani media urge upholding democracy after split electoral verdict

Source: Dawn website, Karachi, in English 0500 GMT 10 Mar 24"
BBCMNF0020240327ek3r002s1,Sudan's RSF 'detains' over 20 commercial trucks in North Kordofan,"By BBC Monitoring

Sudan's paramilitary&#160;Rapid Support Forces&#160;(RSF) group are reportedly holding more than 20 commercial trucks and passenger buses in North Kordofan state town of&#160;Um Samima, privately-owned Al Taghyir news website reported on 27 March.","Sources said the more than 20 commercial trucks, eight buses and a group of small vehicles were detained on 26 March while travelling between North Kordofan and West Kordofan states.

The RSF told the passengers to return to their places of origin and asked the trucks owners to abandon their vehicles, the report said.

It was not clear why the RSF detained the vehicles, but RSF reportedly &#8220;charge&#8221; commercial vehicles and motorists for using the road.

The RSF, which controls Um Samima town, has many checkpoints set up on the road that links En Nuhud town in West Kordofan to El-Obeid, the capital of North Kordofan state, which is controlled by rival Sudan&#8217;s army.

Source: Al-Taghyir (Al-Taghyeer) website, Khartoum, in Arabic 27 Mar 24"
BBCMNF0020240331ek3v00001,India opposition alliance to hold mega rally amid heavy police deployment,"By BBC Monitoring

India's opposition coalition Indian National Developmental Inclusive Alliance (I.N.D.I.A.) is set to hold a mega rally amid deployment of Delhi Police and paramilitary personnel in Delhi on 31 March, over several issues, including the arrest of Delhi Chief Minister Arvind Kejriwal, respected daily The Hindu reported.","The Congress said on 30 March that the event was focused on saving the Constitution and democracy and sending out a message of solidarity, it added.

It also said that the rally will raise issues like the ruling Bhartiya Janata Party (BJP)-led government's misuse of federal agencies, surging prices, unemployment rate, social polarisation, and farmers' demands among others.&#160;

The Delhi Police has said that tractor trollies or weapons will not be allowed during the rally, news agency Press Trust of India reported.

Source: The Hindu website, Chennai, in English 0500 GMT 31 Mar 24"
BBCMNF0020240328ek3s001gt,Islamabad says 'enemies of Pakistan-China friendship' carried out suicide attack,"By BBC Monitoring

Pakistan&#8217;s Foreign Office has said that a recent suicide attack in the country which killed five Chinese nationals was &#8220;orchestrated by the enemies of Pakistan-China friendship"", leading English-language daily Dawn reported on its website.","Five Chinese engineers and their Pakistani driver were killed in the bombing which took place on 26 March in northwest Khyber Pakhtunkhwa province&#8217;s Shangla district.

&#8220;Such despicable attacks further strengthen Pakistan&#8217;s resolve in combatting terrorism in all of its forms and manifestations&#8230;Pakistan and China are close friends and iron brothers. We have no doubt that the Bisham terror attack was orchestrated by the enemies of Pakistan-China friendship,&#8221; Foreign Office spokesperson Mumtaz Zahra Baloch was quoted as saying at a weekly press briefing on 28 March.

She added that Pakistan was &#8220;fully committed to bringing terrorists, and their facilitators and abettors to justice&#8221;.

China has demanded a thorough investigation into the blast while Pakistan has announced a swift probe into the incident.

The spokesperson also vowed to continue working with Beijing to ensure the safety of Chinese nationals and projects in the country.

See also: Briefing: Militants continue attacks on Chinese economic interests in Pakistan

Source: Dawn website, Karachi, in English 0909 GMT 28 Mar 24"
BBCMNF0020240325ek3p003bh,Iran police arrest suspected member of Sunni militant group on southern island,"By BBC Monitoring

Iranian police have apprehended a member of the Sunni militant group&#160;Jaish&#160;al-Adl&#160;(Army of Justice) in the southern province of Hormozgan, the official IRNA news agency reported on 25 March.&#160;","Brigadier General Ali Akbar Javidan, the chief of police in Hormozgan, said the individual, identified as ""A Seddiqi"", was captured on Qeshm Island. He said the suspect has ""multiple counter-security and criminal records, including armed robbery and fraud"".

Javidan said the detained suspect had been previously apprehended in the Persian year 1401 (2022-23) for engaging in counter-security activities in Iranshahr, in the south-eastern province of Sistan-Baluchestan. He added that technical and police investigations were under way regarding the individual.

Sistan-Baluchestan, known as one of Iran's most economically disadvantaged provinces, frequently experiences clashes involving Jaish al-Adl. The group garners support from some Sunni Baluch tribes residing both within the province and across the border in Pakistan. Iran has designated Jaish al-Adl as a terrorist organisation and refers to it as Jaish al-Zolm (Army of Injustice).

See also: Explainer: Baluchi dissidence in Iran, Pakistan and Afghanistan

Source: Islamic Republic News Agency (IRNA) website, Tehran, in Persian 1242 GMT 25 Mar 24"
BBCMNF0020240305ek35000b5,Somalia's interim Khatumo state launches new radio,"By BBC Monitoring

Somalia's Khatumo State, which was recently recognised by the Somali federal government, hasestablished a new Radio in the regional capital, Las Anod, privately-owned Radio Daljir reported on 4 March.","""The radio, which is a mouthpiece for SSC [Sool, Sanaag and Ayn] was launched in Las Anod,"" Radio Daljir said.

Daljir did not provide additional details about the programming of the radio or the languages of broadcast.

SSC-Khatumo has been battling troops of the self-declared Somaliland for months in order to form its own independent state.

The Somali federal government on 19 October 2023 recognised Khatumo State as an interim administration and said it will work with its leaders.

Radio is the most important media source for many Somalis and all the regional administrations in the country operate their own radio and television stations.

The country's oral culture, common language and low literacy levels have made broadcast media sources popular.

Source: Radio Daljir, Gaalkacyo, in Somali on 4 Mar 24"
BBCSUP0020240320ek3k00001,Highlights: Russia Kaliningrad Region Media 4-10 Mar 24,"The following are media highlights from Kaliningrad's state-owned GTRK Kaliningrad TV, NTRK Kaskad TV, Newkaliningrad.ru and RBC Kaliningrad websites for the period 4-10 March 2024:

Domestic economic","Kaliningrad's tulip industry is experiencing significant losses in 2024 due to tulip bulbs being added to an anti-Russian sanctions list, leading to a fivefold increase in import costs. This has resulted in empty stems, impacting flower prices. While exploring new suppliers, the region's government aims to achieve self-sufficiency in tulip bulb production within five years. (RBC Kaliningrad website, 5 March)

In Kaliningrad supermarkets, prices have slightly decreased, mainly due to significant discounts on the chicken fillet, which now averages 380-400 roubles (4.1 - 4.3 $) per kilogramme. Eggs have somewhat recovered from a previous sharp increase, now selling at 130-140 roubles (1.4-1.5 $) per dozen, compared to nearly half the price a year ago. Dairy prices stayed relatively stable, while prices for rice, buckwheat, and pasta fluctuated. Meanwhile, prices for apples, lemons, oranges, and bananas have increased in various stores. (New Kaliningrad website, 8 March)

The cancellation of subsidised air ticket sales has caused a public outcry. The local government spokesperson, Dmitry Lyskov, claimed that the sales are frozen for a programme overhaul, not due to funding shortages. Consequently, until 1 May, Kaliningrad's pensioners, students, and others must pay full fares. Lyskov said the situation is misrepresented, arguing that subsidised tickets were previously hard to obtain due to flaws in the system. (New Kaliningrad website, 10 March 24)

Other

Governor Anton Alikhanov inspected the damaged roads in Kaliningrad and demanded that the city redistribute funds from other expenses for urgent street repairs. It was also reported that Kaliningrad had decided to abandon the construction of two streets, with the city manager, Elena Dyatlova, proposing to reallocate funds from the regional budget for the road repairs. (GTRK Kaliningrad, NTRK Kaliningrad, 10 March 24)

Source: Kaliningrad Region media highlights, in Russian 1000 gmt 18 Mar 24"
BBCMNF0020240312ek3c001gt,Tajik opposition group in Turkey says its leader missing,"By BBC Monitoring

The outlawed&#160;Tajik&#160;opposition movement&#160;Group 24 has said in a statement that its leader, Suhrob Zafar, has been missing in Turkey's Istanbul since 10 March, the Prague-based private&#160;Tajik&#160;website Bomdod.com reported on 11 March.&#160;","According to the statement, the opposition leader has been unreachable since the morning of 10 March and his phone is also switched off. ""No information is available about him and his whereabouts,"" it said.&#160;The statement added that Zafar, who has been living in Turkey since 2014, has been ""receiving threatening messages"" that ""he will soon be killed or kidnapped and taken to Tajikistan"".

This is the second case of a Group 24 member going missing in Istanbul over recent months. Nasimjon Sharifov, 39, another representative of Group 24 went missing on 23 February&#160;and his whereabouts remain unknown.&#160;

The Turkish police had arrested both Zafar and Sharipov several times at the request of the&#160;Tajik&#160;authorities. However, Turkey rejected the request to extradite them to&#160;Tajikistan due to the fact that their cases were ""politically motivated"", and released them.

""So far the Tajik authorities have never succeeded in returning Group 24 members in Turkey via official means, that is through extradition. For this reason, his comrades do not rule out that Suhrob Zafar has been abducted,"" Bomdod noted.

Group 24 was set up by businessman-turned-opposition leader Umarali Quvvatov, who was killed in Istanbul in 2015, a year after the Tajik Supreme Court outlawed his organisation as ""extremist"". Dozens of people have been convicted and jailed in Tajikistan for membership in the group.

Last year, Tajikistan helped Turkey to kidnap two natives of Turkey, who were accused of having links to exiled cleric Fethullah&#160;Gulen. Emsal Koc and Koray Vural were kidnapped in the&#160;Tajik&#160;capital Dushanbe and taken to Turkey in the summer of 2023. Emsal Koc was the former head of the scientific and cultural organisation Dialogue in Dushanbe and Koray Vural was the director of one of the&#160;Tajik-Turkish&#160;lyceums in Dushanbe and had been engaged in business since the lyceum's closure.

Source: Bomdod, Prague, in Tajik 11 Mar 24"
BBCMNF0020240319ek3j0038p,LRA rebels kidnap at least 70 youths in northern DR Congo,"By BBC Monitoring

The rebel group Lord Resistance Army (LRA) has kidnapped at least 70 youths in DR Congo's Haut Uele and Bas Uele provinces, the privately-owned Goma-based Top Congo FM Radio reported on 19 March.&#160;","""Their ages range between 16 and 25,"" the director of the peace and justice commission in the diocese of Haut Uele, Abbot Jean Pierre Bakuteka, said, adding that the kidnapped girls were ""being used as sex slaves"" while the boys were being trained to become combatants.&#160;

Bakuteka also urged the Congolese government to provide resources to law enforcement and security forces to secure the country's borders.

He also called for humanitarian assistance for displaced people and urged both national and international communities to put pressure on armed groups to release kidnapped children.

It is unclear when LRA kidnapped the youths.

Despite being driven out of Uganda in the mid-2000s and counting only between 200 and 1,000 fighters, the LRA continues to operate across borders between the Central African Republic (CAR) and DR Congo.&#160;

Source: Top Congo, Kinshasa, in French 19 Mar 24"
BBCMNF0020240319ek3j0030d,"Sudan's RSF accused of rape, sexual assault in central state","By BBC Monitoring

A Sudanese doctors' union has accused the paramilitary Rapid Support Forces (RSF) of committing rape and sexual assault against girls and women in the central state of Gezira, the Amsterdam-based Radio Tamazuj website reported on 19 March.","""The Sudan Doctors&#8217; Union&#8217;s Preparatory Committee has accused members of the Rapid Support Forces (RSF) of sexually assaulting three girls, one of whom is a nurse, at the El-Hasahisa Children&#8217;s Hospital in Gezira state,"" the website said.

""In a statement obtained by Radio Tamazuj, the Sudan Doctors&#8217; Union affirmed that RSF members raped two girls who were accompanying patients at the children&#8217;s hospital and assaulted a nurse who tried to intervene and help the victims by raising an alarm,"" it added.

The group ""urged those RSF elements responsible to be held accountable for the violations,"" it further added.

Human rights groups have repeatedly accused the RSF of committing atrocities including killings, rape and looting in areas under their control. The group denies the charges.

Source: Radio Tamazuj website, in English, 19 Mar 24"
BBCMNF0020240324ek3o001gt,Outgoing Senegal leader votes in presidential election,"By BBC Monitoring

Outgoing President Macky Sall and First Lady Marieme Sall voted in his home town of Fatick, north-east of the capital Dakar, state-run RTS1 reported on 24 March.","Speaking after casting his ballot, Sall praised the maturity of Senegalese voters and urged candidates not to pre-empt the official announcement of the results.

""I would like to congratulate the Senegalese people for their maturity and sense of duty, and we have seen that the electoral campaign, despite its peculiarities, has been conducted calmly and voting has been going very well throughout the country since this morning.""&#160;

""The results will be published in each polling station at the end of the vote this evening. Immediately afterwards, the departmental polling commissions will come into play, led by the magistrates sent by the Dakar Court of Appeal, and it will be up to the Dakar Court of Appeal to announce the provisional results and the Constitutional Council to announce the final results.&#160;

""I had to issue this reminder simply to point out that it is not up to one candidate or one camp to proclaim victory or results. This evening, the polling stations will speak, reflecting the choice of the Senegalese people, and we hope that this choice will be the best for Senegal,"" he said.

RTS1 reported a high turnout and peaceful conditions at polling stations in the capital and regional towns such as Thies and Saint-Louis, where opposition candidates Idrissa Seck and Dethie Fall cast their ballots early in the morning as polling stations opened.&#160;

Source: RTS1 TV, Dakar, in French 0940 GMT 24 Mar 24"
BBCSAP0020240307ek370005l,Pakistan's PTV show on top court's ruling in Bhutto's death sentence review,"The following is a summary of the talk show ""Riasat"" (The State), hosted by anchor Shahzad Raza on state-owned PTV News in Urdu at 15:00 GMT on 6 March 2024. The programme provides analysis and views of experts and politicians on important news of the day.

Anchor Shahzad Raza said the Supreme Court gave a ruling in the Zulfikar Ali Bhutto (former president and prime minister) reference case on 6 March and stated that a fair trial was not held. He noted Prime Minister Shehbaz Sharif welcomed the ruling and said redressal of the mistake is not possible, but admission of the mistake is a good move.&#160;","Raza said around 44 years ago, Bhutto was given a death sentence and his party [Pakistan Peoples Party (PPP)] and the Bhutto family kept saying that it was a ""judicial murder"". He mentioned former president Asif Ali Zardari sent a presidential reference to the Supreme Court in 2008 for a review of the judgement. Raza said it is a welcome development that an institution has admitted its mistake.

Raza asked senior lawyer Yasin Azad why a decision on the reference took such a long time. Azad noted Asif Ali Zardari sent the reference when he was the president and the judgement has been given at a time when Zardari might again be made the president on 9 March. He said usually the trial of a murder case is conducted in a sessions court, but Bhutto's case was initiated directly in the Lahore High Court. He added out of the seven judges, three had declared that it was not a murder case and ordered Bhutto's acquittal, but four judges upheld the death sentence. He mentioned Justice Nasim Hasan Shah, a member of the bench hearing the case, later wrote in his book and also said in a TV interview that Bhutto's sentence was a judicial murder.

Azad claimed everyone in Pakistan said that Bhutto's sentence was against the law. He said he would give credit to the present-day Supreme Court, headed by Chief Justice Qazi Faez Isa, which took up the review case. He remarked in a short order, the Supreme Court as an institution, has admitted that requirements of justice were not fulfilled.

Azad said there are several other cases in which ""disputed judgements"" have been issued and they should be revisited by a full court. He complained the parliament ""does not play its due role in legislation"". He noted ever since Chief Justice Isa has taken over the office, the Supreme Court has ""recognised the supremacy of the parliament"", which is a welcome development. He said there are many ""difficulties"" in the Constitution which should be removed by the parliament.

PPP politician Syed Hasan Murtaza said it is good that such a verdict has been given which has ""helped in correcting the history"" and a family [referring to the Bhutto family] has finally been awarded justice after 44 years. He was of the view that it would have been better if a verdict had been issued which stated that it was a judicial murder and had also identified the murderers.

Pakistan Muslim League-Nawaz (PML-N) politician Raja Qamar ul Islam, noting that the correction came after 44 years, said it is ""better late than never"" and termed it a sign of ""judicial evolution"". He noted the PML-N and PPP remained hostile towards each other for several years but they also signed a ""charter of democracy"" and resolved to move forward after admitting their mistakes.

Speaking about the controversy around the recent election results and the Pakistan Tehreek-e-Insaf's (PTI) allegations that the results were manipulated, Azad said the PTI will have to prove its allegations before the election tribunals through evidence.

Commenting on the continuous protests by the PTI, Murtaza remarked such acts are damaging to the country and the democratic system. He urged Imran Khan (former PTI chairperson) to stop the confrontation and maintain a ""working relationship"" in the parliament as political instability would further devastate the economy.

Source: PTV News, Islamabad, in Urdu 1500 GMT 6 Mar 24"
BBCRND0020250829el8t00001,BBCM Ukraine Watchlist 29 Aug 25,"Stories being covered today by BBC Monitoring from Ukrainian broadcast, press and social media sources

ONE PLUS ONE TV","DAY 1,283 OF RUSSIAN INVASION OF UKRAINE

Day of mourning in Kyiv

Kyiv is observing a day of mourning on 29 August after a Russian combined drone-and-missile strike killed 23 and injured over 60 civilians the previous day, the Ukrayinska Pravda news and analysis website reported.

As many as 225 residential buildings were damaged across the city, it added.

According to the pooled TV service, the search-and-rescue operation continues in Kyiv's Darnytskyy district with at least seven people believed to be missing.

""This strike clearly shows that Russia's goals have not changed. They want war - and they are striking not only our people, not only our cities and communities. Russia is now striking at everyone in the world who seeks peace. It is a strike against Ukraine. It is a strike against Europe. And it is also a strike by Russia against President Trump, and against other global actors,"" President Volodymyr Zelensky said in his nightly address.

Zelensky noted that other Ukrainian cities are also suffering from Russia's deliberate strikes on civilian infrastructure and called on the international community to take ""strong steps"" to ""compel"" Russian leader Vladimir Putin to end the war.

""Russia kills every day. Therefore, every day they must feel the pain for what they are doing. And this is possible. The world's sanctions. Tariffs. Support for Ukraine. Our strong army. Our ability to defend lives and respond powerfully to the Russian war machine,"" Zelensky added.

Zelensky holds online talks with leaders of Poland, Lithuania, Latvia, Estonia and Denmark

During a coordination online meeting with the leaders of Poland, Lithuania, Latvia, Estonia and Denmark, Zelensky noted a ""negative signal"" from Russia regarding his possible talks with Putin.

""Honestly, we think Putin is still interested only in continuing this war. That's exactly why we need new strong pressure on Russia - tough sanctions, strong tariffs, both from Europe and from America,"" the Ukrainian president's official website quoted Zelensky as saying.

""Putin has not done what he said. It's time to move. We need a strong joint signal. And it would really help if that signal also came from you, dear friends,"" Zelensky said.

""And when we talk about security guarantees, we need clear answers - who will help us defend on the ground, in the air and at sea if Russia comes again. And how exactly you can take part - I'm asking you to define your role.""

Zelensky also took to X to thank Polish counterpart Karol Nawrocki for organising the virtual summit.

""Our strength is in our unity. And it is reassuring that our stance is unanimous: more pressure on Russia is needed to bring peace,"" Zelensky said in English.

Ukraine-Hungary row

President Zelensky condemned Hungary for banning Ukrainian Unmanned Systems Forces Commander Robert Brovdi (Magyar), an ethnic Hungarian, from entering Hungary and the Schengen zone.

""If Hungary has indeed closed entry into Hungary and the entire Schengen zone to one of Ukraine's military commanders, who is an ethnic Hungarian and a citizen of Ukraine, this can only cause outrage,"" Zelensky said.

According to Zelensky, ""Hungarian officials have gone so far as to attempt to discriminate against members of the Hungarian community in Ukraine for their participation in the defence of our state and our people"".

""I have instructed the Ministry of Foreign Affairs of Ukraine to clarify all the facts and respond accordingly,"" he added.

Earlier on 28 August, Hungarian Foreign Minister Peter Szijjarto said on X that Brovdi had been banned due to Ukraine's strikes on Russia's Druzhba pipeline supplying oil to Hungary.

The Foreign Ministry summoned the Hungarian ambassador, Foreign Minister Andriy Sybiha said.

""He was given a protest note in response to Hungary's discrimination against the Hungarian minority in Ukraine, particularly our Hungarian-descent defender who was banned from entering the country of his ancestors. We urge Hungary to further refrain from unfriendly actions and instead engage in constructive dialogue, for which Ukraine remains ready,"" Sybiha said on X in English.

Earlier Sybiha lambasted his Hungarian counterpart Peter Szijjarto for banning Brovdi, while Magyar himself took to Facebook to respond to the ban. In particular, he accused Szijjarto of being ""complicit in the multiplication of blood money"" by defending Russian oil supplies and told him to ""shove your sanctions and restrictions on visiting Hungary up your ass"".

The story took another twist after Polish Foreign Minister voiced support for Brovdi.

""While Russian missiles rain death on Kyiv, Hungary bans a brave ethnic Hungarian who dares to fight for Ukraine's freedom. Commander Magyar: if you need some R&R and Hungary won't let you in, please be our guest in Poland,"" Sikorski said on X in English.

""Endangering Hungary's energy security has nothing to do with the freedom of Ukraine!"" Szijjarto retorted.

Sybiha welcomed Sikorski's statement.

""Well said @sikorskiradek. Official Budapest, in its flirtation with the aggressor, has gone so far as to threaten and violate the rights of members of the Hungarian national minority. The reasons behind the blocking of Ukraine's path to the EU are now becoming blatantly obvious,"" he said on X in English.

""The scandal with Hungary's sanctions against Unmanned Systems Forces Commander Robert Brovdi (Magyar) has become a pan-European story. It showed the stance on Ukraine and its warriors defending their land,"" the reputable ZN.ua website said on Facebook.

Overnight attack

Ukraine's air defences shot down or suppressed 46 out of 68 Russian drones during an overnight attack on 28-29 August, the Air Force has reported on Facebook.

Shahed-type and decoy drones were neutralised over northern and eastern regions of the country.

The Air Force said that 22 strike drones hit targets across nine locations in Donetsk and Dnipropetrovsk regions.

Two civilians were injured as a result of the Russian drone attack, Dnipropetrovsk regional governor Serhiy Lysak said on Telegram.

War update

There were 191 combat engagements between Ukrainian and Russian troops on 28 August, the Ukrainian General Staff reported on Facebook the following morning.

The Pokrovsk sector was the hottest spot on the front line in Ukraine, with 37 Russian attacks reported there.

Thirty-one clashes were reported in in the Lyman sector, 15 the Novopavlivka sector, 10 in the Siversk sector, eight in the Northern Slobozhanshchyna sector (covers parts of Sumy Region) and the Kursk sector, five in the Toretsk sector, five in the Kupyansk sector, four in the Kramatorsk sector, three in Kherson Region, two in the Southern Slobozhanshchyna sector (covers parts of Kharkiv Region) and one in the Orikhiv sector.

Russia carried out three missile and 70 air strikes using 36 missiles and 117 glide bombs, and shelled Ukraine 5,358 times, including 102 times with MRLS. Russian forces also used over 6,205 kamikaze drones.

Ukrainian aviation, rocket and artillery troops hit four Russian clusters of personnel and materiel, three artillery pieces, a command post and a ""another important enemy facility"", the General Staff added."
BBCMNF0020240327ek3r00105,Al-Qaida claims deadly attack on police in central Mali,"By BBC Monitoring

Al-Qaeda in the Sahel has claimed to have killed three members of the Malian police force in an attack in the city of Mopti in central Mali.&#160;","Jamaat Nusrat al-Islam wal Muslimin (JNIM) made the claim in a statement issued via its accounts on Chirpwire and Telegram on 26 March.&#160;

The statement said that on 25 March JNIM militants attacked a ""security centre"" in the middle of Mopti city, killing three Malian police personnel.

JNIM also claimed to have torched two ""cycles"" (possibly meaning motorcycles) and seized two handguns in the raid.&#160;

The statement boasted that just two ""mujahidin"" carried out the attack, which it said had ""terrified and confused the enemy"".&#160;

Regional media reported the attack, putting the death toll at two police officers.&#160;

JNIM has carried out several attacks in the Mopti region in recent months, but its reported operations within Mopti city itself are less common.

The latest statement was numbered 106 and was attributed to JNIM's ""Macina"" area of operations. &#160;

Source: Chirpwire social media platform in Arabic 1123 GMT 26 Mar 24"
